BPG	P2G	P3G	ADP	DHAP	E4P	F6P	FBP	GAP	NADPH	PEP	PHI	R5P	Ru5P	RuBP	S7P	SBP	Xu5P	PYR	ATP	NADP	O2	CO2_cax	CO2_cyt	ACCOA	NADH	NAD	COA	PPool
6.972594E-03	1.541216E-01	9.494064E+00	2.070065E-01	4.505345E+00	3.539289E-03	2.954150E-01	2.535277E-01	5.939044E+00	1.688142E-01	7.225473E-01	2.118713E+00	8.175552E-02	1.725818E-02	1.120851E+00	3.593340E+00	4.258063E-04	6.178477E-01	6.480912E+00	1.212340E+00	8.007130E-02	2.730000E-01	1.500000E-01	1.360000E-02	1.808241E-01	9.851752E-03	1.690598E-01	3.187714E+00	2.330584E+00
8.159179E-03	3.411370E-01	7.204285E+00	6.906825E-01	5.597219E-01	3.500560E-03	1.396549E+00	3.125809E-01	1.379500E+00	5.655867E+00	1.330051E+00	5.018363E+00	2.725355E-02	1.008411E-02	1.799351E+00	1.015137E+00	2.471603E-04	3.900515E+00	8.364886E-01	3.780902E+00	9.976001E-01	2.730000E-01	1.500000E-01	1.360000E-02	1.004145E-01	5.136119E-02	2.759712E-01	6.766442E-03	5.520199E+00
1.590054E-03	1.197693E-01	3.526010E+00	8.669033E-01	9.413315E-01	1.554982E-01	6.063050E-01	1.722071E+00	5.137022E+00	2.518122E+00	5.720513E-01	1.521572E+00	5.420883E-02	1.519867E-02	3.776214E+00	3.243901E-02	1.001536E-04	1.963739E-01	5.472854E-02	4.978196E+00	2.770435E-01	2.730000E-01	1.500000E-01	1.360000E-02	5.006326E-01	1.451743E-04	1.239396E-02	3.388582E-02	1.673729E+00
9.313669E-04	3.652911E-01	7.431888E+00	5.424069E-01	1.804495E+00	1.023524E-02	9.400379E-01	3.617163E+00	2.605669E+00	1.657352E+00	8.813503E-01	1.886828E+00	1.358886E-01	1.082424E-02	4.086243E-01	2.311225E+00	2.248833E-04	4.001296E-01	2.515611E-01	5.126186E-01	1.810154E-01	2.730000E-01	1.500000E-01	1.360000E-02	1.028908E-02	2.657011E-04	1.584760E-02	2.985592E-01	2.075511E+00
2.388205E-02	3.853404E-01	8.187024E+00	3.720406E-01	1.411346E-01	3.137308E-02	4.782613E+00	2.399877E-02	2.041130E-01	7.766289E-01	1.537430E+00	8.214023E+00	8.748485E-02	2.716379E-02	6.475779E-02	3.025088E+00	3.381904E-04	1.392347E-01	2.939141E-02	5.462782E+00	4.872234E-02	2.730000E-01	1.500000E-01	1.360000E-02	3.703802E-03	3.380765E-02	1.957545E-01	2.622157E-04	9.035425E+00
2.143132E-02	7.835572E-01	7.287771E+00	1.323674E+00	4.391042E+00	2.723389E-01	3.040137E+00	3.529782E-02	1.276883E+00	3.656872E+00	2.016836E+00	2.732834E+00	1.342556E-01	8.973972E-03	1.591424E+00	1.193426E-01	8.287915E-03	7.674166E-02	1.067861E-02	8.695003E+00	3.695391E-01	2.730000E-01	1.500000E-01	1.360000E-02	1.149335E-01	1.776266E-03	1.358660E-01	8.910475E-02	3.006117E+00
6.172971E-03	7.827157E-02	9.886167E+00	4.700386E-02	4.584535E+00	6.429727E-03	2.471991E+00	8.043501E-02	7.219991E+00	5.864718E+00	1.943203E-01	6.876295E+00	9.602739E-02	1.126788E-02	7.478813E+00	7.830893E-01	3.242759E-04	5.900395E-02	9.126409E-03	3.123987E-01	6.692907E-01	2.730000E-01	1.500000E-01	1.360000E-02	4.764479E-02	5.072784E-04	3.055510E-02	3.680203E-03	7.563925E+00
1.366031E-03	6.805744E-01	1.023546E+01	3.965938E+00	2.854966E-01	7.536935E-02	1.987507E+00	6.865357E-01	2.519362E+00	1.568120E-01	3.591307E-01	1.176316E+00	3.563077E-02	8.562769E-03	1.055592E+00	3.907304E+00	1.213637E-04	1.056339E-01	2.030317E+00	7.979094E+00	6.513594E-03	2.730000E-01	1.500000E-01	1.360000E-02	1.770965E-01	8.452422E-04	2.725861E-02	4.319191E+00	1.293948E+00
5.367538E-03	9.919833E-02	9.933538E+00	1.796404E-01	5.197627E-01	2.325086E-03	4.224335E-01	8.306166E-02	4.819587E-01	8.302442E-01	1.994220E-01	2.157089E+00	1.257691E-01	1.690234E-02	8.014181E-02	5.599192E-01	1.469821E-04	1.473412E-01	3.851566E-01	1.411716E+00	9.939740E-02	2.730000E-01	1.500000E-01	1.360000E-02	2.988216E-01	3.872404E-03	1.413446E-01	1.533097E-04	2.372798E+00
7.535239E-04	6.554913E-02	1.143174E+01	6.145771E-02	3.194115E+00	1.390319E-02	3.421524E-01	1.143732E+00	9.757797E-01	2.870250E+00	2.176414E-01	2.254370E+00	1.321625E-01	2.293922E-02	5.445490E-01	2.188003E-01	3.747465E-03	2.200854E-01	1.254486E+01	4.236885E-02	2.138052E-01	2.730000E-01	1.500000E-01	1.360000E-02	8.050947E-01	1.070485E-03	1.120980E-02	3.433338E-01	2.479807E+00
