Organism	Study	KEGG_ID	metabolite	concentration
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00049		1.2869488
PCC 6803	Yoshikawa_2013_Autotrophic	C00051		0.6173876
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00051		0.2260856
PCC 6803	Dempo_2014	C00055		0.14912954
PCC 6803	Hasunuma_2013	C00055		0.0521736
PCC 6803	Yoshikawa_2013_Autotrophic	C00055		0.108695
PCC 6803	Dempo_2014	C00061		0.020739006
PCC 6803	Hasunuma_2013	C00061		0.00826082
PCC 6803	Hasunuma_2013	C00062		0.0913038
PCC 6803	Yoshikawa_2013_Autotrophic	C00062		0.4739102
PCC 6803	Yoshikawa_2013_Mixotrophic	C00062		0.3173894
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00062		0.304346
PCC 6803	Dempo_2014	C00063		0.25956366
PCC 6803	Yoshikawa_2013_Autotrophic	C00063		0.1565208
PCC 6803	Yoshikawa_2013_Mixotrophic	C00063		0.3521718
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00063		0.2130422
PCC 6803	Dempo_2014	C00064		1.5086866
PCC 6803	Hasunuma_2013	C00064		0.1999988
PCC 6803	Yoshikawa_2013_Autotrophic	C00064		0.5999964
PCC 6803	Yoshikawa_2013_Mixotrophic	C00064		0.999994
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00064		0.7478216
PCC 6803	Dempo_2014	C00065		0.30956336
PCC 6803	Hasunuma_2013	C00065		0.2695636
PCC 6803	Yoshikawa_2013_Autotrophic	C00065		0.3173894
PCC 6803	Yoshikawa_2013_Mixotrophic	C00065		0.2999982
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00065		0.3565196
PCC 6803	Hasunuma_2013	C00068		0.02130422
PCC 6803	Dempo_2014	C00073		0.26652014
PCC 6803	Hasunuma_2013	C00073		0.02999982
PCC 6803	Yoshikawa_2013_Autotrophic	C00073		0.0260868
PCC 6803	Yoshikawa_2013_Mixotrophic	C00073		0.0347824
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00073		0.0173912
PCC 6803	Dempo_2014	C00074	PEP	1.0912978
PCC 6803	Hasunuma_2013	C00074	PEP	0.2782592
PCC 6803	Shastri_2007	C00074	PEP	1.73912
PCC 6803	Yoshikawa_2013_Autotrophic	C00074	PEP	0.3826064
PCC 6803	Yoshikawa_2013_Mixotrophic	C00074	PEP	1.1826016
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00074	PEP	0.5521706
PCC 6803	Dempo_2014	C00075		0.24086812
PCC 6803	Yoshikawa_2013_Autotrophic	C00075		0.3521718
PCC 6803	Yoshikawa_2013_Mixotrophic	C00075		0.6565178
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00075		0.4913014
PCC 6803	Hasunuma_2013	C00077		0.043478
PCC 6803	Yoshikawa_2013_Autotrophic	C00077		0.0521736
PCC 6803	Yoshikawa_2013_Mixotrophic	C00077		0.0521736
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00077		0.0956516
PCC 6803	Dempo_2014	C00078		0.09521682
PCC 6803	Hasunuma_2013	C00078		0.00956516
PCC 6803	Dempo_2014	C00079		0.08652122
PCC 6803	Hasunuma_2013	C00079		0.03217372
PCC 6803	Yoshikawa_2013_Autotrophic	C00079		0.0304346
PCC 6803	Yoshikawa_2013_Mixotrophic	C00079		0.0304346
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00079		0.0304346
PCC 6803	Dempo_2014	C00082		1.3217312
PCC 6803	Hasunuma_2013	C00082		0.0826082
PCC 6803	Yoshikawa_2013_Autotrophic	C00082		0.0913038
PCC 6803	Yoshikawa_2013_Mixotrophic	C00082		0.1217384
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00082		0.065217
PCC 6803	Dempo_2014	C00085	F6P	0.20043358
PCC 6803	Hasunuma_2013	C00085	F6P	0.0782604
PCC 6803	Shastri_2007	C00085	F6P	2.1739
PCC 6803	Yoshikawa_2013_Autotrophic	C00085	F6P	0.1999988
PCC 6803	Yoshikawa_2013_Mixotrophic	C00085	F6P	0.4652146
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00085	F6P	1.2260796
PCC 6803	Shastri_2007	C00091		0.043478
PCC 6803	Dempo_2014	C00092		0.7999952
PCC 6803	Hasunuma_2013	C00092		0.1260862
PCC 6803	Shastri_2007	C00092		0.86956
PCC 6803	Yoshikawa_2013_Autotrophic	C00092		0.630431
PCC 6803	Yoshikawa_2013_Mixotrophic	C00092		1.3956438
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00092		3.4825878
PCC 6803	Dempo_2014	C00093		0.20739006
PCC 6803	Hasunuma_2013	C00093		0.1695642
PCC 6803	Yoshikawa_2013_Autotrophic	C00093		0.1130428
PCC 6803	Yoshikawa_2013_Mixotrophic	C00093		0.2043466
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00093		0.1608686
PCC 6803	Dempo_2014	C00097		0.20825962
PCC 6803	Yoshikawa_2013_Autotrophic	C00099		0.0521736
PCC 6803	Dempo_2014	C00103		0.030043298
PCC 6803	Hasunuma_2013	C00103		0.02217378
PCC 6803	Yoshikawa_2013_Autotrophic	C00103		0.0347824
PCC 6803	Yoshikawa_2013_Mixotrophic	C00103		0.0782604
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00103		0.2347812
PCC 6803	Dempo_2014	C00105		0.32347632
PCC 6803	Hasunuma_2013	C00105		0.0782604
PCC 6803	Yoshikawa_2013_Autotrophic	C00105		0.1260862
PCC 6803	Dempo_2014	C00111	DHAP	0.1869554
PCC 6803	Shastri_2007	C00111	DHAP	0.043478
PCC 6803	Yoshikawa_2013_Autotrophic	C00111	DHAP	1.3347746
PCC 6803	Yoshikawa_2013_Mixotrophic	C00111	DHAP	0.739126
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00111	DHAP	0.8782556
PCC 6803	Hasunuma_2013	C00112		0.02565202
PCC 6803	Yoshikawa_2013_Autotrophic	C00112		0.152173
PCC 6803	Yoshikawa_2013_Mixotrophic	C00112		0.0478258
PCC 6803	Hasunuma_2013	C00114		0.0065217
PCC 6803	Yoshikawa_2013_Autotrophic	C00114		0.0260868
PCC 6803	Yoshikawa_2013_Mixotrophic	C00114		0.0086956
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00114		0.0173912
PCC 6803	Dempo_2014	C00117	R5P	0.0847821
PCC 6803	Shastri_2007	C00117	R5P	0.043478
PCC 6803	Yoshikawa_2013_Autotrophic	C00117	R5P	0.0391302
PCC 6803	Yoshikawa_2013_Mixotrophic	C00117	R5P	0.0608692
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00117	R5P	0.1173906
PCC 6803	Dempo_2014	C00118	GAP	0.11434714
PCC 6803	Shastri_2007	C00118	GAP	0.043478
PCC 6803	Dempo_2014	C00122		0.07086914
PCC 6803	Shastri_2007	C00122		3.91302
PCC 6803	Dempo_2014	C00123		0.33565016
PCC 6803	Hasunuma_2013	C00123		0.1391296
PCC 6803	Yoshikawa_2013_Autotrophic	C00123		0.0739126
PCC 6803	Yoshikawa_2013_Mixotrophic	C00123		0.1434774
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00123		0.086956
PCC 6803	Hasunuma_2013	C00127		0.608692
PCC 6803	Yoshikawa_2013_Autotrophic	C00127		1.9478144
PCC 6803	Yoshikawa_2013_Mixotrophic	C00127		1.608686
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00127		1.565208
PCC 6803	Dempo_2014	C00130		0.20173792
PCC 6803	Hasunuma_2013	C00130		0.01173906
PCC 6803	Yoshikawa_2013_Autotrophic	C00130		0.0260868
PCC 6803	Yoshikawa_2013_Mixotrophic	C00130		0.065217
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00130		0.0304346
PCC 6803	Yoshikawa_2013_Mixotrophic	C00131		0.021739
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00131		0.0173912
PCC 6803	Dempo_2014	C00135		0.0478258
PCC 6803	Hasunuma_2013	C00135		0.03173894
PCC 6803	Yoshikawa_2013_Autotrophic	C00135		0.0391302
PCC 6803	Yoshikawa_2013_Mixotrophic	C00135		0.0391302
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00135		0.043478
PCC 6803	Dempo_2014	C00144		0.3173894
PCC 6803	Hasunuma_2013	C00144		0.04217366
PCC 6803	Yoshikawa_2013_Autotrophic	C00144		0.0521736
PCC 6803	Hasunuma_2013	C00147		0.0065217
PCC 6803	Yoshikawa_2013_Autotrophic	C00147		0.0304346
PCC 6803	Yoshikawa_2013_Mixotrophic	C00147		0.0173912
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00147		0.0130434
PCC 6803	Dempo_2014	C00148		0.39738892
PCC 6803	Hasunuma_2013	C00148		0.086956
PCC 6803	Yoshikawa_2013_Autotrophic	C00148		0.0565214
PCC 6803	Yoshikawa_2013_Mixotrophic	C00148		0.1173906
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00148		0.0739126
